target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T101.1,149,0,0,0,0,-0.20565571460912602,-0.10742420243469886,0.11587663174975786,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T104.1,170,139,139,65,140,0.05589912292786966,0.1667974132150141,0.370709122910776,0.5533333333333333,0.5713622650266883,0.5713622650266883,0.5131135531135531,0.5533333333333333,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.4,1,True,True,False,0.5,1,True,True,True,0.85
S-T105.1,169,149,131,22,149,0.018671896130261715,-0.20616465897580274,0.039939815704892315,0.24429530201342284,0.24429530201342284,0.40478103656086784,0.6008039579468152,0.24429530201342284,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,False,0.3,1,True,True,True,0.83
S-T107.1,139,0,0,0,0,-0.30831313146599876,-0.1313113694831432,0.04962406015037594,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T110.1,159,131,80,0,97,0.16721403034606847,0.4650756373409877,-0.10151806472455664,0.591952111739275,0.8595965103598691,0.5528481012658228,,0.8595965103598691,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.97
S-T113.1,160,2,0,0,0,0.257385928754644,0.22206484364952853,0.49022556390977434,,0.7753164556962026,,,0.7148387096774194,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.1,0,True,False,False,0.05
S-T116.1,160,0,0,0,29,0.126520450240804,-0.036871936010877134,0.18742955116228144,0.3685180310608055,,,,0.4591194968553459,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,False,False,False,0.01
S-T117.1,158,0,0,0,60,0.16263420692925784,0.21895161998792706,-0.28700615866451945,0.7207482993197278,,,,0.5332167832167832,0,False,False,False,0.0,1,False,False,False,0.0,1,False,False,False,0.0,1,False,False,False,0.0,1,False,False,False,0.23
S-T117.2,127,0,0,0,0,0.044374681066647846,0.04495361398262404,-0.06747770669203405,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T117.3,158,0,0,0,65,0.16415466070965526,0.22669569713228507,-0.03507783240267842,0.711166253101737,,,,0.5883771929824562,0,False,False,False,0.0,1,False,False,False,0.0,1,False,False,False,0.2,1,False,False,False,0.1,1,False,False,False,0.33
S-T117.4,107,3,0,0,1,0.1290213638384915,0.16218631745944131,0.371375423153827,0.9528301886792453,0.923076923076923,,,0.923076923076923,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.2,1,True,False,False,0.2,1,True,False,False,0.03
S-T119.1,169,91,1,0,90,-0.017654119260865846,0.027071735599280427,-0.22926197826734748,0.49198312236286923,0.5098619329388561,0.3035714285714286,,0.499151103565365,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.4,1,True,False,False,0.4,1,True,False,False,0.57
S-T120.1,150,10,3,0,7,0.3668140912698186,0.11255065852242273,-0.4189545237985971,0.4225774225774226,0.45071428571428573,0.5328798185941043,,0.45071428571428573,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.08
S-T121.1,170,17,1,0,9,-0.15885729663936574,-0.09393426619846677,-0.3048552940591325,0.41338854382332635,0.40792003075740096,0.0650887573964497,,0.4331140350877193,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.09
S-T122.1,199,25,5,0,16,-0.038325425011828326,-0.08851236565029572,-0.25197444429538607,0.5594262295081966,0.667816091954023,0.7896907216494844,,0.436887673729779,0,False,False,False,1.0,0,False,False,False,1.0,0,False,False,False,1.0,1,True,True,False,0.9,1,True,True,False,0.61
S-T123.1,189,0,0,0,0,0.11479779604169134,0.07197721890193783,-0.2244825073019076,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T124.1,85,0,0,0,0,0.6500316868153221,0.21348618259115856,-0.43512061652435113,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T125.1,172,85,78,3,82,0.5374857098054527,0.5064623451453544,0.34586466165413526,0.8735772357723577,0.8631507775524002,0.8889798145117295,0.7633136094674555,0.8631507775524002,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,True,0.75
S-T125.2,190,175,170,72,170,-0.2189407075876737,-0.08042476875514916,-0.44394293982050087,0.5473529411764706,0.6236190476190476,0.5473529411764706,0.39759887005649713,0.6236190476190476,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.8,1,True,True,False,0.9,1,True,True,True,0.94
S-T125.3,164,0,0,0,0,-0.06959297120306018,0.03638969017364849,-0.1731589912876425,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T125.4,183,0,0,0,0,0.5103922309260663,0.3609645860465853,0.36356816550755794,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T131.1,185,6,3,0,5,-0.05458907084813123,-0.12814836227535173,-0.08485091976977868,0.27555555555555555,0.2532588454376164,0.30219780219780223,,0.2532588454376164,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.01
S-T132.1,189,9,1,0,2,-0.033440627728420484,-0.04287429653357001,-0.28614490281729144,0.2032085561497326,0.30246913580246915,0.18085106382978722,,0.3225138121546961,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,True,False,False,0.01
S-T133.1,200,86,38,0,83,-0.600643300548603,-0.48102164746116816,-0.47855544021328567,0.21697044588610853,0.22276621787025708,0.30571799870045485,,0.23113015095879239,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.22
S-T136.1,158,155,96,0,115,0.44190500899298846,0.5113091171246754,0.3130173948564887,0.8984833164812942,0.7698924731182796,0.7027889784946236,,,1,True,False,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0
S-T136.2,160,105,56,0,57,0.48985598136518693,0.5051143132285674,0.07680731601937822,0.7066939192641799,0.7885714285714286,0.7122252747252746,,0.7112526539278132,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.99
S-T136.3,160,105,21,0,41,0.39556823892117904,0.36662741546917,0.0203543867205419,0.6575117852018857,0.7655411255411254,0.7067488866050017,,0.5625,1,True,False,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.98
S-T138.1,153,0,0,0,0,-0.3688098690816687,-0.16844086799930552,0.46757377146630075,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T138.2,170,0,0,0,0,0.47015573342316497,0.12429737726008491,-0.38792729034297874,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T140.1,176,151,132,0,146,-0.17159882171951601,-0.2552858167636549,0.13855437399574114,0.2808219178082192,0.26675496688741723,0.38050964187327824,,0.29102564102564105,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.81
S-T141.1,179,23,0,0,16,0.3465736016656878,0.2561268965172568,0.5723178178650822,0.8132668711656441,0.6956521739130435,,,0.6956521739130435,1,True,False,False,1.0,1,True,False,False,0.5,1,True,False,False,0.2,1,True,False,False,0.1,1,True,False,False,0.18
S-T142.1,165,45,41,0,43,-0.13031441524178258,-0.07932096946537326,-0.020369789209859542,0.4027830728173846,0.3764814814814815,0.422108575924469,,0.3764814814814815,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.21
S-T143.1,176,115,86,18,109,0.18503552011165006,0.24655230483606505,0.8598351890799428,0.5549774065452554,0.5277263007840343,0.5525839793281654,0.7573839662447257,0.5277263007840343,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,True,0.4,1,True,True,True,0.67
S-T144.1,153,125,76,0,118,-0.47428271319103216,-0.5435158361781481,0.26339742666242183,0.19346246973365616,0.17857142857142858,0.262987012987013,,0.16916322314049587,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.71
S-T146.1,171,12,2,0,44,-0.05940781800766838,-0.08086384719160003,0.6841105406438407,0.4065855404438081,0.5697064989517819,0.29585798816568043,,0.45637254901960783,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.28
S-T146.2,130,0,0,0,0,0.05034779416290698,-0.06645558703024676,-0.40572099629104297,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T146.3,172,7,0,0,6,-0.05547674795493317,-0.11598255239020884,-0.5273512095441415,0.2620481927710843,0.33160173160173156,,,0.33160173160173156,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.02
S-T151.1,160,95,88,55,91,0.758791780760929,0.6618050589331672,-0.30280022916826344,0.8998248128682911,0.908825910931174,0.9075126262626263,0.9058008658008658,0.9061145883485796,1,True,True,False,1.0,1,True,True,True,1.0,1,True,True,True,0.8,1,True,True,True,0.9,1,True,True,True,0.81
