target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T143.1,176,115,86,18,115,0.0452271151514648,0.04828728379189405,0.6098760024378931,0.41853171774768355,0.41853171774768355,0.5175710594315246,0.4750351617440225,0.41853171774768355,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,True,0.1,1,True,True,True,0.64
S-T144.1,154,126,77,0,126,-0.5565052670633163,-0.6729537391860776,0.08977795985086243,0.08928571428571426,0.08928571428571426,0.21875527070332262,,0.08376024590163934,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.7
S-T146.1,171,12,2,0,12,0.17769292046125695,0.047844861571340776,0.178860262859197,0.5754716981132076,0.5754716981132076,0.136094674556213,,0.46176470588235297,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.33
S-T146.2,132,0,0,0,0,0.0005035818281128538,0.07870205702376036,-0.11065118080664808,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T146.3,173,7,0,0,7,0.17145986181258413,0.07103284042015678,0.26933387955258725,0.6419965576592083,0.6419965576592083,,,0.6419965576592083,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.2,1,True,False,False,0.1,1,True,False,False,0.05
S-T151.1,160,95,88,55,95,0.7455741883800566,0.6543283432630296,-0.16600215609224594,0.9360323886639677,0.9360323886639677,0.9097222222222222,0.863030303030303,0.9086823944792168,1,True,True,False,1.0,1,True,True,False,0.5,1,True,True,False,0.8,1,True,True,True,0.7,1,True,True,True,0.86
S-T151.2,160,1,0,0,1,0.27509274295101155,0.0958122066307386,-0.25743335942771184,0.3836477987421384,0.3836477987421384,,,0.7006369426751593,0,False,False,False,0.0,0,False,False,False,0.5,0,False,False,False,0.2,0,False,False,False,0.1,1,True,False,False,0.03
S-T151.3,160,2,0,0,2,0.36533811592142235,0.4251074913081351,0.09121780715502112,0.430379746835443,0.430379746835443,,,0.732484076433121,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.03
S-T151.4,67,0,0,0,0,0.5659295168599652,0.5410735634339472,0.7497182046491258,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T151.5,134,0,0,0,0,-0.1246799531438495,0.06630196897413256,0.05344376760048989,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T152.1,169,153,143,25,153,0.13062968432596322,0.15475780244742057,-0.4442776122689525,0.5044934640522876,0.5044934640522876,0.6013986013986014,0.5655555555555556,0.47012987012987006,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,True,1.0,1,True,True,True,1.0,1,True,True,True,0.88
S-T153.1,178,112,101,18,112,-0.28328668869013185,-0.1517523570210289,-0.06777116119356902,0.4352002164502165,0.4352002164502165,0.47781921049247783,0.24166666666666667,0.4352002164502165,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.2,1,True,True,True,0.56
S-T154.1,166,1,0,0,1,-0.052988976356653936,-0.09169210528769432,-0.49472947671305384,0.593939393939394,0.593939393939394,,,0.593939393939394,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.01
S-T158.1,158,122,76,0,122,-0.224629275587429,-0.03612864185346652,0.2093375867979132,0.3932149362477232,0.3932149362477232,0.4407894736842105,,0.450147019513499,1,True,False,False,1.0,1,True,False,False,1.0,1,True,False,False,0.8,1,True,True,False,0.7,1,True,True,False,0.82
S-T159.1,150,146,122,0,146,0.42931733655972576,0.210343743002327,-0.00978916772795997,0.7089041095890412,0.7089041095890412,0.507903981264637,,0.7606278613472859,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.97
S-T159.2,115,0,0,0,0,-0.18364301803130093,-0.4401953382951415,-0.6446004223499955,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T159.3,99,0,0,0,0,0.15922200207619883,0.14335317163373248,0.41739801639565327,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T159.4,83,0,0,0,0,0.4713666568583547,0.36440212239666675,0.32779792786267187,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T159.5,83,0,0,0,0,0.25639558728942946,0.1794700951783364,0.0015117369579174466,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T159.6,114,108,42,0,108,0.019038907619089204,0.009778251885902988,-0.07775949300975836,0.43827160493827166,0.43827160493827166,0.43419312169312163,,0.43827160493827166,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.8,1,True,True,False,0.8,1,True,True,False,0.95
S-T159.7,141,78,9,0,78,0.43929753157650014,0.2357181142399549,0.1280120844859396,0.8278388278388278,0.8278388278388278,0.7407407407407407,,0.743353344768439,0,False,False,False,0.0,1,True,False,False,0.5,1,True,False,False,0.4,1,True,False,False,0.6,1,True,True,False,0.75
S-T164.1,169,140,10,0,140,0.472004619855085,0.36365315050420666,-0.4708106277305109,0.6049261083743842,0.6049261083743842,0.4748427672955975,,0.6335263835263836,1,True,False,False,1.0,1,True,False,False,1.0,1,True,False,False,1.0,1,True,False,False,1.0,1,True,True,False,0.92
S-T165.1,182,0,0,0,0,-0.17902955915740165,0.10941489625629028,-0.47144372886029695,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T166.1,190,89,76,3,89,0.010857346319244952,0.0036903293884134815,-0.42188871491201657,0.4867059739681834,0.4867059739681834,0.5045013850415513,0.5276292335115864,0.42274150268336314,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,True,0.52
S-T169.1,188,0,0,0,0,0.033097484208719524,-0.20298163656008725,-0.7688900704244237,,,,,0.39572192513368987,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T176.1,185,14,0,0,14,0.27191468249991657,0.13225025787037395,-0.5235817780113529,0.43901420217209697,0.43901420217209697,,,0.42117647058823526,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.1
S-T180.1,171,10,0,0,10,0.18673004640593976,0.11547460613683956,0.5545109284906209,0.4708074534161491,0.4708074534161491,,,0.4708074534161491,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.08
S-T180.2,172,135,65,0,135,-0.18222255522854253,-0.0224468209214751,-0.13929165067028063,0.5673673673673674,0.5673673673673674,0.4884255930984904,,0.4488916256157635,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.64
